attribute,global_step,epoch,train_loss,eval_loss,learning_rate,grad_norm,timestamp
correctness,280,1.115711,0.85816016,,7.78449610152e-05,0.38476562,2026-07-01T10:18:13.560731+00:00
correctness,280,1.115711,0.88006872,0.87236894,7.78449610152e-05,0.38476562,2026-07-01T10:18:26.049635+00:00
correctness,290,1.155611,0.93565940,,7.6102709327e-05,0.51562500,2026-07-01T10:18:33.148343+00:00
correctness,290,1.155611,0.89960492,0.87209451,7.6102709327e-05,0.51562500,2026-07-01T10:18:45.643974+00:00
correctness,300,1.195511,0.86549500,,7.43189144157e-05,0.39453125,2026-07-01T10:18:53.694010+00:00
correctness,300,1.195511,0.79506254,0.87265309,7.43189144157e-05,0.39453125,2026-07-01T10:19:06.193580+00:00
correctness,310,1.235411,0.87228063,,7.24970878963e-05,0.27929688,2026-07-01T10:19:14.277485+00:00
correctness,310,1.235411,1.07541800,0.87272360,7.24970878963e-05,0.27929688,2026-07-01T10:19:26.777532+00:00
correctness,320,1.275312,0.88877540,,7.06408162536e-05,0.40820312,2026-07-01T10:19:33.968227+00:00
correctness,320,1.275312,0.89789456,0.87225851,7.06408162536e-05,0.40820312,2026-07-01T10:19:46.457713+00:00
correctness,330,1.315212,0.82090914,,6.87537537817e-05,0.42187500,2026-07-01T10:19:54.543958+00:00
correctness,330,1.315212,0.76118702,0.87203322,6.87537537817e-05,0.42187500,2026-07-01T10:20:07.040367+00:00
correctness,340,1.355112,0.85434121,,6.68396153902e-05,0.52734375,2026-07-01T10:20:14.924063+00:00
correctness,340,1.355112,0.80453467,0.87276262,6.68396153902e-05,0.52734375,2026-07-01T10:20:27.417713+00:00
correctness,350,1.395012,0.92100855,,6.4902169291e-05,0.45312500,2026-07-01T10:20:35.604593+00:00
correctness,350,1.395012,0.86926281,0.87257488,6.4902169291e-05,0.45312500,2026-07-01T10:20:48.094658+00:00
correctness,360,1.434913,0.84815596,,6.29452295797e-05,0.64062500,2026-07-01T10:20:54.185608+00:00
correctness,360,1.434913,0.90619695,0.87189951,6.29452295797e-05,0.64062500,2026-07-01T10:21:06.678503+00:00
