attribute,global_step,epoch,train_loss,eval_loss,learning_rate,grad_norm,timestamp
complexity,280,1.115711,0.73950219,,7.78449610152e-05,0.29687500,2026-07-01T11:19:58.424706+00:00
complexity,280,1.115711,0.62397557,0.84627359,7.78449610152e-05,0.29687500,2026-07-01T11:20:14.980679+00:00
complexity,290,1.155611,0.75787691,,7.6102709327e-05,0.35937500,2026-07-01T11:20:23.465531+00:00
complexity,290,1.155611,0.72929531,0.84716430,7.6102709327e-05,0.35937500,2026-07-01T11:20:40.029189+00:00
complexity,300,1.195511,0.75356612,,7.43189144157e-05,0.34375000,2026-07-01T11:20:48.744198+00:00
complexity,300,1.195511,0.69719440,0.84687542,7.43189144157e-05,0.34375000,2026-07-01T11:21:05.300206+00:00
complexity,310,1.235411,0.78952398,,7.24970878963e-05,0.36914062,2026-07-01T11:21:14.673770+00:00
complexity,310,1.235411,1.03661036,0.84654869,7.24970878963e-05,0.36914062,2026-07-01T11:21:31.237671+00:00
complexity,320,1.275312,0.77042549,,7.06408162536e-05,0.41210938,2026-07-01T11:21:40.284401+00:00
complexity,320,1.275312,0.72233796,0.84708790,7.06408162536e-05,0.41210938,2026-07-01T11:21:56.837799+00:00
complexity,330,1.315212,0.75616587,,6.87537537817e-05,0.39843750,2026-07-01T11:22:05.893852+00:00
complexity,330,1.315212,0.66296208,0.84746427,6.87537537817e-05,0.39843750,2026-07-01T11:22:22.449223+00:00
complexity,340,1.355112,0.78329318,,6.68396153902e-05,0.38867188,2026-07-01T11:22:30.232533+00:00
complexity,340,1.355112,0.80643386,0.84664629,6.68396153902e-05,0.38867188,2026-07-01T11:22:46.789183+00:00
complexity,350,1.395012,0.73892636,,6.4902169291e-05,0.37500000,2026-07-01T11:22:55.813663+00:00
complexity,350,1.395012,0.73695642,0.84720153,6.4902169291e-05,0.37500000,2026-07-01T11:23:12.372687+00:00
complexity,360,1.434913,0.76818552,,6.29452295797e-05,0.35937500,2026-07-01T11:23:21.281192+00:00
complexity,360,1.434913,0.84053570,0.84741860,6.29452295797e-05,0.35937500,2026-07-01T11:23:37.833873+00:00
complexity,370,1.474813,0.73891723,,6.09726487278e-05,0.35546875,2026-07-01T11:23:47.424195+00:00
complexity,370,1.474813,0.57460314,0.84635300,6.09726487278e-05,0.35546875,2026-07-01T11:24:03.984531+00:00
complexity,380,1.514713,0.72998616,,5.8988309998e-05,0.29101562,2026-07-01T11:24:13.060858+00:00
complexity,380,1.514713,0.67391753,0.84636359,5.8988309998e-05,0.29101562,2026-07-01T11:24:29.609841+00:00
complexity,390,1.554613,0.76921563,,5.69961198e-05,0.40234375,2026-07-01T11:24:38.601285+00:00
complexity,390,1.554613,0.95758533,0.84630215,5.69961198e-05,0.40234375,2026-07-01T11:24:55.159934+00:00
complexity,400,1.594514,0.80591450,,5.5e-05,0.38281250,2026-07-01T11:25:04.277983+00:00
complexity,400,1.594514,0.74548024,0.84652453,5.5e-05,0.38281250,2026-07-01T11:25:20.838658+00:00
complexity,410,1.634414,0.77567929,,5.30038802e-05,0.40429688,2026-07-01T11:25:29.914162+00:00
complexity,410,1.634414,0.81951338,0.84634790,5.30038802e-05,0.40429688,2026-07-01T11:25:46.465581+00:00
complexity,420,1.674314,0.79790637,,5.1011690002e-05,0.34570312,2026-07-01T11:25:56.287721+00:00
complexity,420,1.674314,1.38463390,0.84659779,5.1011690002e-05,0.34570312,2026-07-01T11:26:12.850767+00:00
complexity,430,1.714214,0.74662797,,4.90273512722e-05,0.45117188,2026-07-01T11:26:21.536629+00:00
complexity,430,1.714214,0.69465250,0.84606980,4.90273512722e-05,0.45117188,2026-07-01T11:26:38.094445+00:00
complexity,440,1.754115,0.76083167,,4.70547704203e-05,0.46484375,2026-07-01T11:26:47.838480+00:00
complexity,440,1.754115,0.82661813,0.84559457,4.70547704203e-05,0.46484375,2026-07-01T11:27:04.397599+00:00
complexity,450,1.794015,0.79215795,,4.5097830709e-05,0.43554688,2026-07-01T11:27:13.537115+00:00
complexity,450,1.794015,0.78466529,0.84576476,4.5097830709e-05,0.43554688,2026-07-01T11:27:30.103254+00:00
complexity,460,1.833915,0.77170731,,4.31603846098e-05,0.38085938,2026-07-01T11:27:37.694661+00:00
complexity,460,1.833915,0.70252764,0.84600934,4.31603846098e-05,0.38085938,2026-07-01T11:27:54.249654+00:00
complexity,470,1.873815,0.78343735,,4.12462462183e-05,0.43359375,2026-07-01T11:28:04.281596+00:00
complexity,470,1.873815,0.79023260,0.84534850,4.12462462183e-05,0.43359375,2026-07-01T11:28:20.849055+00:00
complexity,480,1.913716,0.81695165,,3.93591837464e-05,0.34179688,2026-07-01T11:28:31.925278+00:00
complexity,480,1.913716,0.70239800,0.84505933,3.93591837464e-05,0.34179688,2026-07-01T11:28:48.485034+00:00
complexity,490,1.953616,0.70865765,,3.75029121037e-05,0.30468750,2026-07-01T11:28:58.039679+00:00
complexity,490,1.953616,0.60504413,0.84515292,3.75029121037e-05,0.30468750,2026-07-01T11:29:14.617589+00:00
complexity,500,1.993516,0.74972966,,3.56810855843e-05,0.41015625,2026-07-01T11:29:25.360859+00:00
