p_name,p_helpfulness,p_correctness,p_coherence,p_complexity,p_verbosity,method,params,status,lam_helpfulness,lam_correctness,lam_coherence,lam_complexity,lam_verbosity,dist_l2,dist_R,proxy_pRlam,min_delta,moved,usable,t_star,t_star_lp,u_alpha
balanced,0.2,0.2,0.2,0.2,0.2,Avg,rho=0.0,OK,0.9999999999999984,0.0,7.771561172376084e-16,0.0,7.494005416219795e-16,0.8944271909999142,0.8750365403992634,0.22904374403602398,-0.2071034550543905,True,True,,,
balanced,0.2,0.2,0.2,0.2,0.2,Avg,rho=0.1,OK,0.22555078835069173,0.22382585417125656,0.20806040109429064,0.18997440459640608,0.15258855178735511,0.06028135833696468,0.06127367913823707,0.22452732785362645,-0.04758910807787511,True,True,,,
balanced,0.2,0.2,0.2,0.2,0.2,Avg,rho=0.2,OK,0.21277568913074782,0.21191255684624485,0.20403034287906086,0.19498723212799926,0.1762941790159472,0.03014074812226531,0.030636909769494864,0.22415188234038103,-0.023794649145011823,True,True,,,
balanced,0.2,0.2,0.2,0.2,0.2,Avg,rho=0.5,OK,0.20511039266375133,0.20476459648284656,0.20161232174531982,0.1979948128035389,0.19051787630454353,0.012056057386280848,0.012254525841706774,0.22392661108240405,-0.009517660545028075,True,True,,,
balanced,0.2,0.2,0.2,0.2,0.2,Cert,,FLOOR_COLLAPSED,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.223776435105963,0.0,False,True,0.0,-0.0,
balanced,0.2,0.2,0.2,0.2,0.2,MaxMin,c=0.0,OK_EXACT_D0,0.205267308930061,0.20494199586393685,0.20192184902386565,0.19753690610734453,0.190331940074792,0.012465936964217817,0.012689719502770268,0.2239318346903589,-0.00972485604169014,True,True,-0.00972485604169014,,
balanced,0.2,0.2,0.2,0.2,0.2,MaxMin,c=0.1,OK,0.20498663315967128,0.20466082183004888,0.20163613507512396,0.19724598260894774,0.1914704273262082,0.011384416110295616,0.01160293908493326,0.2239181272333024,-0.00860673854863451,True,True,-0.00860673854863451,,
balanced,0.2,0.2,0.2,0.2,0.2,MaxMin,c=0.25,OK,0.2045656195105155,0.204239060790167,0.2012075641878625,0.1968095973053421,0.19317815820611295,0.009848295486034298,0.010053139029093827,0.22389756604798564,-0.006929562309036583,True,True,-0.006929562309036583,,
balanced,0.2,0.2,0.2,0.2,0.2,MaxMin,c=0.5,OK,0.2038639301246945,0.20353612571798152,0.2004932793638393,0.196082288452849,0.19602437634063574,0.007670170329285968,0.007825014436419074,0.2238632974059143,-0.0041342685756023505,True,True,-0.0041342685756023505,,
balanced,0.2,0.2,0.2,0.2,0.2,MaxMin,c=0.75,OK,0.20241337471140242,0.20208299529760768,0.19901668637813238,0.19822585732862066,0.19826108628423691,0.004159513879736523,0.004185994310113574,0.22381873327194038,-0.0018071608931484386,True,True,-0.0018071608931484386,,
