evaluator,evaluator_role,p_name,method,params,U_p_baseline,U_p_lambda,delta_u_p,ci_low,ci_high,excludes_zero,p_value,selection_regret,baseline_regret,p_holm_within_rm,p_holm_global,holm_within_rm_improves,holm_global_improves,holm_global_harms
armorm,primary post-hoc evaluator,balanced,Avg,rho=0.0,0.5641748046875,0.5684912109375,0.004316406250000002,-0.009326538085937502,0.017768798828124998,False,0.5432,0.009716796875000044,0.014033203125000004,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,balanced,Avg,rho=0.1,0.5641748046875,0.56466796875,0.0004931640624999996,-0.007781005859374999,0.008903991699218747,False,0.9028,0.013540039062500009,0.014033203125000004,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,balanced,Avg,rho=0.2,0.5641748046875,0.56966552734375,0.00549072265625,-0.0005445556640625008,0.012041015625,False,0.081,0.008542480468750058,0.014033203125000004,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,balanced,Avg,rho=0.5,0.5641748046875,0.56636962890625,0.00219482421875,-0.00247821044921875,0.00743408203125,False,0.3872,0.011838378906250058,0.014033203125000004,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,balanced,MaxMin,c=0.0,0.5641748046875,0.56666748046875,0.00249267578125,-0.0022510375976562504,0.007812622070312499,False,0.3284,0.011540527343749996,0.014033203125000004,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,balanced,MaxMin,c=0.1,0.5641748046875,0.5668994140625,0.0027246093750000005,-0.0017969970703124998,0.007802978515624997,False,0.257,0.01130859375000004,0.014033203125000004,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,balanced,MaxMin,c=0.25,0.5641748046875,0.5649609375,0.0007861328125,-0.0030616455078125004,0.0045800781249999995,False,0.6834,0.013247070312500053,0.014033203125000004,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,balanced,MaxMin,c=0.5,0.5641748046875,0.565263671875,0.0010888671875,-0.001708984375,0.004160278320312498,False,0.4774,0.012944335937499996,0.014033203125000004,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,balanced,MaxMin,c=0.75,0.5641748046875,0.56564453125,0.0014697265625000001,-0.0009718017578124998,0.004057739257812497,False,0.2524,0.012563476562500009,0.014033203125000004,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,balanced,MaxMin,c=0.9,0.5641748046875,0.5645556640625,0.000380859375,-0.00173828125,0.002641723632812498,False,0.7468,0.013652343750000018,0.014033203125000004,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,balanced,MaxMin,c=0.95,0.5641748046875,0.5641259765625001,-4.8828124999999955e-05,-0.0014599609374999999,0.0011474609375,False,1.0,0.01408203124999996,0.014033203125000004,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,balanced,Fair,"alpha=0.0,eps=0.01",0.5641748046875,0.5664013671875,0.0022265625000000002,-0.004817077636718749,0.009089538574218748,False,0.54,0.011806640625000031,0.014033203125000004,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,balanced,Fair,"alpha=0.0,eps=0.02",0.5641748046875,0.5751879882812501,0.01101318359375,0.00187744140625,0.020415161132812495,True,0.0176,0.0030200195312499734,0.014033203125000004,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,balanced,Fair,"alpha=0.0,eps=0.05",0.5641748046875,0.57202392578125,0.00784912109375,-0.0018140258789062504,0.017714843749999997,False,0.1236,0.006184082031249982,0.014033203125000004,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,balanced,Fair,"alpha=0.0,eps=0.1",0.5641748046875,0.56989990234375,0.0057250976562500016,-0.00556890869140625,0.016484741210937497,False,0.319,0.008308105468750049,0.014033203125000004,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,balanced,Fair,"alpha=0.5,eps=0.01",0.5641748046875,0.563828125,-0.0003466796875,-0.0021240234375,0.0011279296874999998,False,0.6936,0.014379882812500022,0.014033203125000004,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,balanced,Fair,"alpha=0.5,eps=0.02",0.5641748046875,0.565029296875,0.0008544921875,-0.0013378906249999999,0.003173828125,False,0.4626,0.013178710937500004,0.014033203125000004,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,balanced,Fair,"alpha=0.5,eps=0.05",0.5641748046875,0.5646533203125,0.00047851562500000005,-0.0028857421874999996,0.003603515625,False,0.7388,0.013554687499999996,0.014033203125000004,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,balanced,Fair,"alpha=0.5,eps=0.1",0.5641748046875,0.5668994140625,0.0027246093750000005,-0.0017969970703124998,0.007802978515624997,False,0.257,0.01130859375000004,0.014033203125000004,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,balanced,Fair,"alpha=1.0,eps=0.01",0.5641748046875,0.5648242187500001,0.0006494140625,0.0,0.0014746093750000002,False,0.0914,0.013383789062499929,0.014033203125000004,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,balanced,Fair,"alpha=1.0,eps=0.02",0.5641748046875,0.5637841796875,-0.000390625,-0.0021630859375,0.0010498046875,False,0.6486,0.014423828124999982,0.014033203125000004,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,balanced,Fair,"alpha=1.0,eps=0.05",0.5641748046875,0.565029296875,0.0008544921875,-0.0013378906249999999,0.003173828125,False,0.4626,0.013178710937500004,0.014033203125000004,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,balanced,Fair,"alpha=1.0,eps=0.1",0.5641748046875,0.5646337890625,0.0004589843749999999,-0.0029005126953124995,0.0035791015625000005,False,0.7482,0.013574218750000089,0.014033203125000004,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,balanced,Fair,"alpha=2.0,eps=0.01",0.5641748046875,0.5648242187500001,0.0006494140625,0.0,0.0014746093750000002,False,0.0914,0.013383789062499929,0.014033203125000004,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,balanced,Fair,"alpha=2.0,eps=0.02",0.5641748046875,0.5648242187500001,0.0006494140625,0.0,0.0014746093750000002,False,0.0914,0.013383789062499929,0.014033203125000004,1.0,1.0,False,False,False
