p_name,method,params,label,U_p_baseline,U_p_lambda,delta_u_p,ci_low,ci_high,excludes_zero,p_value,p_holm,holm_improves,holm_harms,significant,selection_regret,baseline_regret
dominant_helpfulness,Fair,"alpha=2.0,eps=0.02","Fair(alpha=2.0,eps=0.02)",0.5589920043945312,0.5589920043945312,0.0,0.0,0.0,False,1.0,1.0,False,False,False,0.008880615234375,0.008880615234375
dominant_helpfulness,Fair,"alpha=2.0,eps=0.05","Fair(alpha=2.0,eps=0.05)",0.5589920043945312,0.5595016479492189,0.0005096435546875,0.0,0.0015289306640625,False,0.7268,1.0,False,False,False,0.008370971679687367,0.008880615234375
dominant_helpfulness,Fair,"alpha=2.0,eps=0.1","Fair(alpha=2.0,eps=0.1)",0.5589920043945312,0.5595016479492189,0.0005096435546875,0.0,0.0015289306640625,False,0.7268,1.0,False,False,False,0.008370971679687367,0.008880615234375
dominant_correctness,Avg,rho=0.5,Avg(rho=0.5),0.5620620727539062,0.5691452026367188,0.0070831298828125,-0.0014374542236328125,0.01618659973144531,False,0.1096,1.0,False,False,False,0.0,0.007083129882812567
dominant_correctness,MaxMin,c=0.0,MaxMin(c=0.0),0.5620620727539062,0.5675765991210937,0.0055145263671875,-0.002469406127929687,0.014120635986328123,False,0.196,1.0,False,False,False,0.0015686035156250444,0.007083129882812567
dominant_correctness,MaxMin,c=0.25,MaxMin(c=0.25),0.5620620727539062,0.5639999389648438,0.0019378662109375,-0.0051303100585937495,0.00964973449707031,False,0.6156,1.0,False,False,False,0.005145263671874956,0.007083129882812567
dominant_correctness,MaxMin,c=0.5,MaxMin(c=0.5),0.5620620727539062,0.5634689331054688,0.0014068603515625,-0.005838241577148438,0.0096954345703125,False,0.7528,1.0,False,False,False,0.00567626953125,0.007083129882812567
dominant_correctness,MaxMin,c=0.75,MaxMin(c=0.75),0.5620620727539062,0.5607894897460938,-0.0012725830078125,-0.0052001953125,0.002087554931640623,False,0.5018,1.0,False,False,False,0.008355712890624978,0.007083129882812567
dominant_correctness,MaxMin,c=0.9,MaxMin(c=0.9),0.5620620727539062,0.5601181030273437,-0.0019439697265625,-0.00528564453125,0.0,False,0.2596,1.0,False,False,False,0.009027099609375089,0.007083129882812567
dominant_correctness,Fair,"alpha=0.0,eps=0.02","Fair(alpha=0.0,eps=0.02)",0.5620620727539062,0.5593307495117188,-0.0027313232421875,-0.00891754150390625,0.0022952270507812455,False,0.3406,1.0,False,False,False,0.009814453124999956,0.007083129882812567
dominant_correctness,Fair,"alpha=0.0,eps=0.05","Fair(alpha=0.0,eps=0.05)",0.5620620727539062,0.5621932983398438,0.0001312255859375,-0.008413772583007812,0.008297958374023433,False,0.9708,1.0,False,False,False,0.006951904296874978,0.007083129882812567
dominant_correctness,Fair,"alpha=0.0,eps=0.1","Fair(alpha=0.0,eps=0.1)",0.5620620727539062,0.5672149658203125,0.00515289306640625,-0.0054171371459960935,0.01612735748291015,False,0.3386,1.0,False,False,False,0.00193023681640625,0.007083129882812567
dominant_correctness,Fair,"alpha=1.0,eps=0.02","Fair(alpha=1.0,eps=0.02)",0.5620620727539062,0.5620620727539062,0.0,0.0,0.0,False,1.0,1.0,False,False,False,0.007083129882812567,0.007083129882812567
dominant_correctness,Fair,"alpha=1.0,eps=0.05","Fair(alpha=1.0,eps=0.05)",0.5620620727539062,0.5620620727539062,0.0,0.0,0.0,False,1.0,1.0,False,False,False,0.007083129882812567,0.007083129882812567
dominant_correctness,Fair,"alpha=1.0,eps=0.1","Fair(alpha=1.0,eps=0.1)",0.5620620727539062,0.5601181030273437,-0.0019439697265625,-0.00528564453125,0.0,False,0.2596,1.0,False,False,False,0.009027099609375089,0.007083129882812567
dominant_correctness,Fair,"alpha=2.0,eps=0.02","Fair(alpha=2.0,eps=0.02)",0.5620620727539062,0.5620620727539062,0.0,0.0,0.0,False,1.0,1.0,False,False,False,0.007083129882812567,0.007083129882812567
dominant_correctness,Fair,"alpha=2.0,eps=0.05","Fair(alpha=2.0,eps=0.05)",0.5620620727539062,0.5620620727539062,0.0,0.0,0.0,False,1.0,1.0,False,False,False,0.007083129882812567,0.007083129882812567
dominant_correctness,Fair,"alpha=2.0,eps=0.1","Fair(alpha=2.0,eps=0.1)",0.5620620727539062,0.5620620727539062,0.0,0.0,0.0,False,1.0,1.0,False,False,False,0.007083129882812567,0.007083129882812567
dominant_coherence,Avg,rho=0.5,Avg(rho=0.5),0.5940582275390626,0.6041152954101562,0.01005706787109375,0.002075157165527344,0.018356361389160157,True,0.0108,1.0,False,False,False,0.004974365234375,0.015031433105468617
dominant_coherence,MaxMin,c=0.0,MaxMin(c=0.0),0.5940582275390626,0.6034744262695313,0.00941619873046875,0.0010498046875,0.01753547668457031,True,0.0264,1.0,False,False,False,0.005615234374999889,0.015031433105468617
dominant_coherence,MaxMin,c=0.25,MaxMin(c=0.25),0.5940582275390626,0.5954345703125,0.0013763427734375,-0.005664215087890625,0.008215484619140623,False,0.6802,1.0,False,False,False,0.013655090332031161,0.015031433105468617
dominant_coherence,MaxMin,c=0.5,MaxMin(c=0.5),0.5940582275390626,0.595556640625,0.0014984130859375,-0.0029053497314453125,0.0064790344238281235,False,0.5212,1.0,False,False,False,0.013533020019531161,0.015031433105468617
dominant_coherence,MaxMin,c=0.75,MaxMin(c=0.75),0.5940582275390626,0.5950225830078125,0.00096435546875,-0.0020052337646484374,0.0046692657470703116,False,0.5792,1.0,False,False,False,0.014067077636718661,0.015031433105468617
dominant_coherence,MaxMin,c=0.9,MaxMin(c=0.9),0.5940582275390626,0.5943206787109374,0.000262451171875,-0.0022644805908203125,0.0036377716064453116,False,0.9418,1.0,False,False,False,0.014768981933593772,0.015031433105468617
dominant_coherence,Fair,"alpha=0.0,eps=0.02","Fair(alpha=0.0,eps=0.02)",0.5940582275390626,0.6014892578125001,0.0074310302734375,0.0032804107666015627,0.0121612548828125,True,0.0001,0.0126,True,False,True,0.007600402832031117,0.015031433105468617
dominant_coherence,Fair,"alpha=0.0,eps=0.05","Fair(alpha=0.0,eps=0.05)",0.5940582275390626,0.603118896484375,0.0090606689453125,0.0018187713623046876,0.0165374755859375,True,0.0158,1.0,False,False,False,0.005970764160156183,0.015031433105468617
dominant_coherence,Fair,"alpha=0.0,eps=0.1","Fair(alpha=0.0,eps=0.1)",0.5940582275390626,0.6005752563476563,0.00651702880859375,-0.0037664794921874996,0.016872024536132808,False,0.2126,1.0,False,False,False,0.008514404296874889,0.015031433105468617
dominant_coherence,Fair,"alpha=1.0,eps=0.02","Fair(alpha=1.0,eps=0.02)",0.5940582275390626,0.5940582275390626,0.0,0.0,0.0,False,1.0,1.0,False,False,False,0.015031433105468617,0.015031433105468617
