p_name,p,method,params,status,lambda,dist_l2,dist_R,U_p(p),U_p(lambda),Delta U_p,note
dominant_helpfulness,"[0.5, 0.125, 0.125, 0.125, 0.125]",MaxMin,c=0.5,OK,"[0.623, 0.0962, 0.0941, 0.0934, 0.0932]",0.13753910621391832,0.12274506913379532,0.5589920043945312,0.558453369140625,-0.0005386352539061834,
dominant_helpfulness,"[0.5, 0.125, 0.125, 0.125, 0.125]",MaxMin,c=0.75,OK,"[0.5614, 0.1106, 0.1096, 0.1092, 0.1091]",0.06870404772686321,0.06131407510304155,0.5589920043945312,0.5580245971679687,-0.0009674072265625222,
dominant_helpfulness,"[0.5, 0.125, 0.125, 0.125, 0.125]",MaxMin,c=0.9,OK,"[0.5246, 0.1193, 0.1188, 0.1187, 0.1186]",0.027472915191395927,0.024517862354216328,0.5589920043945312,0.5612411499023438,0.002249145507812522,
dominant_helpfulness,"[0.5, 0.125, 0.125, 0.125, 0.125]",MaxMin,c=1.0,OK,"[0.5, 0.125, 0.125, 0.125, 0.125]",0.0,0.0,0.5589920043945312,0.5589920043945312,0.0,
dominant_helpfulness,"[0.5, 0.125, 0.125, 0.125, 0.125]",Fair,"alpha=0.0,eps=0.02",OK,"[0.6042, 0.1006, 0.0988, 0.0982, 0.0981]",0.11653812337110377,0.1040030025181402,0.5589920043945312,0.5587066650390624,-0.0002853393554688166,
dominant_helpfulness,"[0.5, 0.125, 0.125, 0.125, 0.125]",Fair,"alpha=0.0,eps=0.05",OK,"[0.7605, 0.0641, 0.0596, 0.0581, 0.0576]",0.29134530842775946,0.2600075062953506,0.5589920043945312,0.55546875,-0.003523254394531272,
dominant_helpfulness,"[0.5, 0.125, 0.125, 0.125, 0.125]",Fair,"alpha=0.0,eps=0.1",OK,"[0.9968, 0.0032, 0.0, 0.0, 0.0]",0.5554547751640408,0.49582038532553263,0.5589920043945312,0.5562545776367187,-0.002737426757812522,
dominant_helpfulness,"[0.5, 0.125, 0.125, 0.125, 0.125]",Fair,"alpha=1.0,eps=0.02",OK,"[0.5009, 0.1243, 0.1248, 0.1256, 0.1244]",0.0014442347824889649,0.0013015251885746403,0.5589920043945312,0.5595016479492189,0.0005096435546876332,
dominant_helpfulness,"[0.5, 0.125, 0.125, 0.125, 0.125]",Fair,"alpha=1.0,eps=0.05",OK,"[0.5023, 0.1233, 0.1246, 0.1264, 0.1234]",0.0036105866542407838,0.0032538127050910147,0.5589920043945312,0.5595016479492189,0.0005096435546876332,
dominant_helpfulness,"[0.5, 0.125, 0.125, 0.125, 0.125]",Fair,"alpha=1.0,eps=0.1",OK,"[0.5046, 0.1216, 0.1242, 0.1278, 0.1218]",0.00722117398613042,0.006507626016468126,0.5589920043945312,0.5593368530273438,0.0003448486328125888,
