p_name,p_helpfulness,p_correctness,p_coherence,p_complexity,p_verbosity,method,params,status,lam_helpfulness,lam_correctness,lam_coherence,lam_complexity,lam_verbosity,dist_l2,dist_R,proxy_pRlam,min_delta,moved,usable,t_star,t_star_lp,u_alpha
balanced,0.2,0.2,0.2,0.2,0.2,Avg,rho=0.0,OK,0.9999999999999991,0.0,8.326672684688667e-16,4.1633363423443333e-17,5.551115123125778e-17,0.8944271909999151,0.8749655636136114,0.2276199966045299,-0.2030005065827833,True,True,,,
balanced,0.2,0.2,0.2,0.2,0.2,Avg,rho=0.1,OK,0.23370950990375733,0.22407156909328066,0.2064046355184399,0.18706824234553934,0.14874604313898282,0.0674610206165966,0.0684228222661096,0.2217410671805405,-0.051424901487614486,True,True,,,
balanced,0.2,0.2,0.2,0.2,0.2,Avg,rho=0.2,OK,0.21685474068928845,0.21203578122218275,0.20320238431342758,0.19353404953040024,0.1743730442447011,0.03373050481954954,0.03421140881174374,0.22127289891787918,-0.02571243101050521,True,True,,,
balanced,0.2,0.2,0.2,0.2,0.2,Avg,rho=0.5,OK,0.20674149805137954,0.20481453864176646,0.20128101179342237,0.19741362354831188,0.18974932796511984,0.01349200466354888,0.013684369961351401,0.22099199534948213,-0.010284863989910808,True,True,,,
balanced,0.2,0.2,0.2,0.2,0.2,Cert,,FLOOR_COLLAPSED,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.2208047307187461,0.0,False,True,0.0,-0.0,
balanced,0.2,0.2,0.2,0.2,0.2,MaxMin,c=0.0,OK_EXACT_D0,0.20681526588578375,0.20503218453799557,0.2015999344354732,0.19702485578545767,0.1895277593552897,0.013887038119564207,0.014099500531856322,0.2209975805464803,-0.010520384337970885,True,True,-0.010520384337970885,,
balanced,0.2,0.2,0.2,0.2,0.2,MaxMin,c=0.1,OK,0.20650661600901601,0.20472045613563367,0.20128256296370994,0.1967013078531666,0.19078905703847382,0.01272739430885892,0.012929808589428977,0.2209811545560076,-0.009275643137781722,True,True,-0.009275643137781722,,
balanced,0.2,0.2,0.2,0.2,0.2,MaxMin,c=0.25,OK,0.20604364117123738,0.20425286356285627,0.20080650578083523,0.19621598592939632,0.19268100355567486,0.011097268587541597,0.011278778735297075,0.2209565155704934,-0.007408531346116255,True,True,-0.007408531346116255,,
balanced,0.2,0.2,0.2,0.2,0.2,MaxMin,c=0.5,OK,0.2051734790180909,0.20337402219335807,0.19991175491265495,0.1957263132747448,0.19581443060115133,0.008598842220063182,0.00871513599636663,0.2209133739940825,-0.004304926239766943,True,True,-0.004304926239766943,,
balanced,0.2,0.2,0.2,0.2,0.2,MaxMin,c=0.75,OK,0.20358309681264736,0.20176777703938237,0.1982764332335949,0.19817382419864749,0.19819886871572795,0.00505106847990168,0.005037012131430914,0.22085958367929337,-0.0018416473971042244,True,True,-0.0018416473971042244,,
balanced,0.2,0.2,0.2,0.2,0.2,MaxMin,c=0.9,OK,0.2019255771483734,0.2000937253406503,0.19925987187567124,0.19935803462648674,0.19936279100881812,0.002254456979734428,0.002223685162233356,0.22082572447119664,-0.0006487097121697889,True,True,-0.0006487097121697889,,
