p_name,p,method,params,status,lambda,dist_l2,dist_R,proxy_delta_p,proxy_min_delta,U_p(p),U_p(lambda),Delta U_p,note
balanced,"[0.2, 0.2, 0.2, 0.2, 0.2]",Fair,"alpha=0.5,eps=0.02",OK,"[0.201357, 0.200902, 0.200141, 0.199513, 0.198087]",0.002563569147416377,0.0025971091998661447,3.5495990987914326e-05,-0.001918842758077028,0.57245361328125,0.5723217773437501,-0.0001318359374998801,
balanced,"[0.2, 0.2, 0.2, 0.2, 0.2]",Fair,"alpha=0.5,eps=0.05",OK,"[0.203392, 0.202256, 0.200352, 0.198782, 0.195218]",0.006408922151367118,0.006492772284619677,8.873996795919329e-05,-0.004797106444113065,0.57245361328125,0.57195556640625,-0.0004980468749999911,
balanced,"[0.2, 0.2, 0.2, 0.2, 0.2]",Fair,"alpha=0.5,eps=0.1",OK,"[0.206784, 0.204512, 0.200705, 0.197564, 0.190435]",0.012817845263049434,0.012985545551518577,0.00017747994887449696,-0.009594213019830825,0.57245361328125,0.57080810546875,-0.0016455078124999467,
balanced,"[0.2, 0.2, 0.2, 0.2, 0.2]",Fair,"alpha=1.0,eps=0.01",OK,"[0.200338, 0.200227, 0.20004, 0.199882, 0.199514]",0.0006461122066081135,0.0006545732898817695,8.94994625338701e-06,-0.0004875502985304049,0.57245361328125,0.5723217773437501,-0.0001318359374998801,
balanced,"[0.2, 0.2, 0.2, 0.2, 0.2]",Fair,"alpha=1.0,eps=0.02",OK,"[0.200675, 0.200454, 0.200079, 0.199764, 0.199028]",0.0012922243851845418,0.0013091465503916868,1.7899892157913175e-05,-0.0009751006755934876,0.57245361328125,0.5723217773437501,-0.0001318359374998801,
balanced,"[0.2, 0.2, 0.2, 0.2, 0.2]",Fair,"alpha=1.0,eps=0.05",OK,"[0.201688, 0.201136, 0.200198, 0.19941, 0.197569]",0.0032305609169034307,0.0032728663190237633,4.47497293768103e-05,-0.002437751513084523,0.57245361328125,0.57279541015625,0.0003417968750000222,
balanced,"[0.2, 0.2, 0.2, 0.2, 0.2]",Fair,"alpha=1.0,eps=0.1",OK,"[0.203376, 0.202271, 0.200395, 0.19882, 0.195138]",0.006461122193683614,0.006545732923236103,8.949946175450165e-05,-0.004875503642579526,0.57245361328125,0.57195556640625,-0.0004980468749999911,
balanced,"[0.2, 0.2, 0.2, 0.2, 0.2]",Fair,"alpha=2.0,eps=0.01",OK,"[0.200168, 0.200114, 0.200021, 0.199942, 0.199755]",0.0003243478240218765,0.0003285952111055492,4.493470478128435e-06,-0.0002457210757111726,0.57245361328125,0.57227294921875,-0.0001806640624999467,
balanced,"[0.2, 0.2, 0.2, 0.2, 0.2]",Fair,"alpha=2.0,eps=0.02",OK,"[0.200337, 0.200228, 0.200042, 0.199884, 0.19951]",0.0006486955112236767,0.000657190281099474,8.986938959834997e-06,-0.0004914419872723209,0.57245361328125,0.5723217773437501,-0.0001318359374998801,
balanced,"[0.2, 0.2, 0.2, 0.2, 0.2]",Fair,"alpha=2.0,eps=0.05",OK,"[0.200842, 0.20057, 0.200104, 0.19971, 0.198775]",0.0016217391570852297,0.0016429760700224136,2.246735223428379e-05,-0.0012286053375739942,0.57245361328125,0.5723217773437501,-0.0001318359374998801,
balanced,"[0.2, 0.2, 0.2, 0.2, 0.2]",Fair,"alpha=2.0,eps=0.1",OK,"[0.201684, 0.201139, 0.200208, 0.19942, 0.197549]",0.003243478311422481,0.0032859521625437024,4.4934705024922375e-05,-0.002457210486288562,0.57245361328125,0.57279541015625,0.0003417968750000222,
dominant_helpfulness,"[0.5, 0.125, 0.125, 0.125, 0.125]",Avg,rho=0.0,OK,"[1.0, 0.0, 0.0, 0.0, 0.0]",0.5590169943749472,0.5468534772585075,0.18368877653244758,-0.12687531661423948,0.5528228759765625,0.5382919311523438,-0.014530944824218794,
dominant_helpfulness,"[0.5, 0.125, 0.125, 0.125, 0.125]",Avg,rho=0.1,OK,"[1.0, 0.0, 0.0, 0.0, 0.0]",0.5590169943749475,0.5468534772585077,0.1836887765324477,-0.12687531661423954,0.5528228759765625,0.5382919311523438,-0.014530944824218794,
