p_name,method,params,predicted_delta_u_p,predicted_min_axis_delta,observed_delta_u_p
dominant_verbosity,Fair,"alpha=2.0,eps=0.05",-0.00044668484917318325,-0.001228605184037066,0.0018371582031250638
dominant_verbosity,Fair,"alpha=2.0,eps=0.1",-0.0008933698831112962,-0.002457210867276676,0.0035644531250000333
only_correctness,Fair,"alpha=0.0,eps=0.01",-0.009999999999999948,-0.009999999999999948,-0.0008789062499999778
only_correctness,Fair,"alpha=0.0,eps=0.02",-0.020000000000000007,-0.020000000000000007,0.003149414062500022
only_correctness,Fair,"alpha=0.0,eps=0.05",-0.04999999999999996,-0.04999999999999996,0.0004028320312500222
only_correctness,Fair,"alpha=0.0,eps=0.1",-0.10000000000000003,-0.10000000000000003,-0.006616210937499978
only_correctness,Fair,"alpha=0.5,eps=0.01",-9.527859898916149e-05,-9.527859898916149e-05,-0.0004394531249999334
only_correctness,Fair,"alpha=0.5,eps=0.02",-0.00019055610081110565,-0.00019055610081110565,0.0021484375000000444
only_correctness,Fair,"alpha=0.5,eps=0.05",-0.0004763929921214798,-0.0004763929921214799,0.0024902343750000666
only_correctness,Fair,"alpha=0.5,eps=0.1",-0.0009527865792699123,-0.0009527865792699123,0.0024902343750000666
only_correctness,Fair,"alpha=1.0,eps=0.01",-4.7641138289835536e-05,-4.7641138289835536e-05,0.0
only_correctness,Fair,"alpha=1.0,eps=0.02",-9.528016702460969e-05,-9.528016702460969e-05,-0.0004394531249999334
only_correctness,Fair,"alpha=1.0,eps=0.05",-0.00023820460756854582,-0.00023820460756854582,0.0021484375000000444
only_correctness,Fair,"alpha=1.0,eps=0.1",-0.00047640940252995247,-0.0004764094025299524,0.0024902343750000666
only_correctness,Fair,"alpha=2.0,eps=0.01",-2.3820731160682433e-05,-2.3820731160682433e-05,0.0
only_correctness,Fair,"alpha=2.0,eps=0.02",-4.764146193782569e-05,-4.764146193782569e-05,0.0
only_correctness,Fair,"alpha=2.0,eps=0.05",-0.00011910365297105162,-0.00011910365297105162,-0.0004394531249999334
only_correctness,Fair,"alpha=2.0,eps=0.1",-0.0002382029968177618,-0.0002382029968177618,0.0021484375000000444
only_coherence,Fair,"alpha=0.0,eps=0.01",-0.009999999999999993,-0.009999999999999993,0.009521484375
only_coherence,Fair,"alpha=0.0,eps=0.02",-0.019999999999999987,-0.019999999999999987,0.008593749999999956
only_coherence,Fair,"alpha=0.0,eps=0.05",-0.04999999999999997,-0.04999999999999997,0.014477539062500044
only_coherence,Fair,"alpha=0.0,eps=0.1",-0.10000000000000005,-0.10000000000000005,0.012475585937499978
only_coherence,Fair,"alpha=0.5,eps=0.01",-0.00029638006915825584,-0.00029638006915825584,0.0
only_coherence,Fair,"alpha=0.5,eps=0.02",-0.00059276236495993,-0.00059276236495993,4.882812499995559e-05
only_coherence,Fair,"alpha=0.5,eps=0.05",-0.0014819055793009138,-0.0014819055793009138,-0.0005859375000000222
