p_name,p_helpfulness,p_correctness,p_coherence,p_complexity,p_verbosity,method,params,status,lam_helpfulness,lam_correctness,lam_coherence,lam_complexity,lam_verbosity,dist_l2,dist_R,proxy_pRlam,min_delta,moved,usable,t_star,t_star_lp,u_alpha
balanced,0.2,0.2,0.2,0.2,0.2,Avg,rho=0.5,OK,0.20729856714224332,0.19425871924504728,0.19891899136373103,0.20467079105920039,0.19485293118977803,0.01164940226640742,0.01050613742061887,0.35081985891381157,-0.0047059577091122596,True,True,,,
balanced,0.2,0.2,0.2,0.2,0.2,Cert,,FLOOR_COLLAPSED,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.35070948002132807,0.0,False,True,0.0,-0.0,
balanced,0.2,0.2,0.2,0.2,0.2,MaxMin,c=0.0,OK_EXACT_D0,0.20586918787521202,0.19518365524249204,0.199217094587612,0.20383530914937198,0.19589475314531202,0.009477348365003718,0.008551324817840558,0.3507993001533597,-0.003947076452735363,True,True,-0.003947076452735363,,
balanced,0.2,0.2,0.2,0.2,0.2,MaxMin,c=0.25,OK,0.2050584856792956,0.19688515595108014,0.1983711389617323,0.2030135519037238,0.19667166750416795,0.007622533133936885,0.006854552629208819,0.3507806681607705,-0.0025635546691589435,True,True,-0.0025635546691589435,,
balanced,0.2,0.2,0.2,0.2,0.2,MaxMin,c=0.5,OK,0.20394578999160717,0.19816761207907685,0.1980159195779294,0.20188568311057858,0.19798499524080804,0.005520826409600632,0.004952120782181159,0.3507585216329993,-0.001518868847392081,True,True,-0.001518868847392081,,
balanced,0.2,0.2,0.2,0.2,0.2,MaxMin,c=0.75,OK,0.20239415209377212,0.19914913043410767,0.19908112930967267,0.2003128864177852,0.1990627017446624,0.0028769241459779956,0.0025751966104394933,0.3507333970766335,-0.0007031621848223701,True,True,-0.0007031621848223701,,
balanced,0.2,0.2,0.2,0.2,0.2,MaxMin,c=0.9,OK,0.20134195593918036,0.19968627622522223,0.19966319534682608,0.199655495839696,0.19965307664907536,0.0015005814379251167,0.0013391752891903656,0.35071923382693637,-0.0002575262745817204,True,True,-0.0002575262745817204,,
balanced,0.2,0.2,0.2,0.2,0.2,MaxMin,c=1.0,OK,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.35070948002132807,0.0,False,True,0.0,,
balanced,0.2,0.2,0.2,0.2,0.2,Fair,"alpha=0.0,eps=0.02",OK,0.3042189532978816,0.17563559094796455,0.17384308426617875,0.1732451253089711,0.17305724617900406,0.11653812337110382,0.10400300251814025,0.3514669798627857,-0.020000000000000007,True,True,,,0.10378749920728811
balanced,0.2,0.2,0.2,0.2,0.2,Fair,"alpha=0.0,eps=0.05",OK,0.46054738324470396,0.13908897736991138,0.13460771066544686,0.13311281327242774,0.13264311544751012,0.29134530842775946,0.2600075062953506,0.3526032296249721,-0.05000000000000001,True,True,,,0.2594687480182203
balanced,0.2,0.2,0.2,0.2,0.2,Fair,"alpha=0.0,eps=0.1",OK,0.7210947664894078,0.07817795473982277,0.0692154213308937,0.06622562654485548,0.0652862308950202,0.5826906168555189,0.5200150125907012,0.35449697922861606,-0.10000000000000002,True,True,,,0.5189374960364406
balanced,0.2,0.2,0.2,0.2,0.2,Fair,"alpha=1.0,eps=0.02",OK,0.2009257408197657,0.199319439308274,0.19983573283706735,0.20056592461691203,0.19935316241798096,0.0014442341052821842,0.0013015245803886478,0.35072314571250385,-0.0005581073828698146,True,True,,,-19.55841103879766
balanced,0.2,0.2,0.2,0.2,0.2,Fair,"alpha=1.0,eps=0.05",OK,0.20231435259428876,0.19829859768195718,0.1995893325748572,0.20141481198552508,0.19838290516337181,0.0036105864035695045,0.003253812483465964,0.3507436442602427,-0.0013952689320612566,True,True,,,-14.976957379426887
balanced,0.2,0.2,0.2,0.2,0.2,Fair,"alpha=1.0,eps=0.1",OK,0.2046287068370651,0.19659719462100386,0.1991786651088507,0.20282962291313011,0.1967658105199503,0.007221173717451525,0.006507625785085343,0.35077780850759205,-0.002790538469296517,True,True,,,-11.51122147662716
balanced,0.2,0.2,0.2,0.2,0.2,Fair,"alpha=2.0,eps=0.02",OK,0.20046063495590685,0.19965933459886984,0.19991989550210226,0.2002833645603583,0.19967677038276277,0.0007207128889095259,0.000649538238400885,0.3507163007787504,-0.00027935006486295554,True,True,,,-249.9574523398237
balanced,0.2,0.2,0.2,0.2,0.2,Fair,"alpha=2.0,eps=0.05",OK,0.20115158736581232,0.19914833652164005,0.19979973874774884,0.20070841140909118,0.19919192595570767,0.0018017821999935075,0.001623845575664547,0.3507265319146676,-0.00069837514224086,True,True,,,-99.98298093592948
balanced,0.2,0.2,0.2,0.2,0.2,Fair,"alpha=2.0,eps=0.1",OK,0.20230317476484402,0.19829667304926996,0.19959947750363846,0.20141682276522965,0.19838385191701796,0.0036035643941504402,0.003247691145695708,0.3507435838079409,-0.0013967502793216374,True,True,,,-49.99149046796474
dominant_helpfulness,0.5,0.125,0.125,0.125,0.125,Avg,rho=0.5,OK,0.8072985706257897,0.04425863170558335,0.04891949358749778,0.054670364998390765,0.04485293908273848,0.3436708199015821,0.3068681136683272,0.5389351808277913,-0.06627335174611354,True,True,,,
dominant_helpfulness,0.5,0.125,0.125,0.125,0.125,Cert,,FLOOR_COLLAPSED,0.5,0.125,0.125,0.125,0.125,0.0,0.0,0.4447671412098343,0.0,False,True,0.0,-0.0,
dominant_helpfulness,0.5,0.125,0.125,0.125,0.125,MaxMin,c=0.0,OK_EXACT_D0,0.7449512419608051,0.05641538064235497,0.06462043030586746,0.07076250847369243,0.06325043861727998,0.27405358455062606,0.24479150636942268,0.5198725084148814,-0.05629689487134065,True,True,-0.05629689487134065,,
dominant_helpfulness,0.5,0.125,0.125,0.125,0.125,MaxMin,c=0.25,OK,0.6850356878589933,0.08174217552986202,0.07855966700947752,0.07749801993418858,0.07716444966747861,0.20690777576833258,0.1846522777420358,0.5013929439987473,-0.03550902825326203,True,True,-0.03550902825326203,,
dominant_helpfulness,0.5,0.125,0.125,0.125,0.125,MaxMin,c=0.5,OK,0.6229999357505954,0.0962449544620163,0.09412942557100937,0.0934237102381389,0.09320197397824002,0.13753910621391832,0.12274506913379532,0.48240836699418055,-0.023604139527103874,True,True,-0.023604139527103874,,
dominant_helpfulness,0.5,0.125,0.125,0.125,0.125,MaxMin,c=0.75,OK,0.5614413870268037,0.11063617231918695,0.10957941543093713,0.10922689387364481,0.10911613134942741,0.06870404772686321,0.06131407510304155,0.4635698268166691,-0.011790827883521416,True,True,-0.011790827883521416,,
dominant_helpfulness,0.5,0.125,0.125,0.125,0.125,MaxMin,c=0.9,OK,0.5245687709949747,0.11925628863574929,0.11883371975765003,0.11869275579457884,0.1186484648170472,0.027472915191395927,0.024517862354216328,0.45228583339956796,-0.004714837410571987,True,True,-0.004714837410571987,,
dominant_helpfulness,0.5,0.125,0.125,0.125,0.125,MaxMin,c=1.0,OK,0.5,0.125,0.125,0.125,0.125,0.0,0.0,0.4447671412098343,0.0,False,True,0.0,,
dominant_helpfulness,0.5,0.125,0.125,0.125,0.125,Fair,"alpha=0.0,eps=0.02",OK,0.6042189532978816,0.10063559094796455,0.09884308426617874,0.09824512530897109,0.09805724617900405,0.11653812337110377,0.1040030025181402,0.4766608908134784,-0.020000000000000004,True,True,,,0.10378749920728811
dominant_helpfulness,0.5,0.125,0.125,0.125,0.125,Fair,"alpha=0.0,eps=0.05",OK,0.760547383244704,0.06408897736991137,0.059607710665446845,0.05811281327242773,0.05764311544751009,0.29134530842775946,0.2600075062953506,0.5245015152189444,-0.05000000000000002,True,True,,,0.2594687480182203
dominant_helpfulness,0.5,0.125,0.125,0.125,0.125,Fair,"alpha=0.0,eps=0.1",OK,0.9968077005608939,0.00319229943910615,0.0,0.0,0.0,0.5554547751640408,0.49582038532553263,0.5968607670811108,-0.1,True,True,,,0.5181706550108877
dominant_helpfulness,0.5,0.125,0.125,0.125,0.125,Fair,"alpha=1.0,eps=0.02",OK,0.5009257413600764,0.12431943904974124,0.12483573281747638,0.125565924723363,0.1243531620493431,0.0014442347824889649,0.0013015251885746403,0.4450597447235893,-0.0005581075935468456,True,True,,,-19.55841103879766
dominant_helpfulness,0.5,0.125,0.125,0.125,0.125,Fair,"alpha=1.0,eps=0.05",OK,0.5023143531762388,0.12329859758855828,0.12458933254766989,0.12641481153765155,0.12338290514988147,0.0036105866542407838,0.0032538127050910147,0.44549864992443633,-0.0013952690070493643,True,True,,,-14.976957379426889
dominant_helpfulness,0.5,0.125,0.125,0.125,0.125,Fair,"alpha=1.0,eps=0.1",OK,0.5046287071857776,0.12159719486287263,0.12417866478872727,0.12782962291502342,0.12176581024759905,0.00722117398613042,0.006507626016468126,0.4462301588951359,-0.0027905382736034346,True,True,,,-11.511221476627162
