p_name,p,method,params,status,lambda,dist_l2,dist_R,U_p(p),U_p(lambda),Delta U_p,note
only_helpfulness,"[1.0, 0.0, 0.0, 0.0, 0.0]",Avg,rho=0.5,OK,"[1.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.545947265625,0.545947265625,0.0,
only_helpfulness,"[1.0, 0.0, 0.0, 0.0, 0.0]",Cert,,FLOOR_COLLAPSED,"[1.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.545947265625,0.545947265625,0.0,"certificate: lambda = p, Delta = 0 by construction"
only_correctness,"[0.0, 1.0, 0.0, 0.0, 0.0]",Avg,rho=0.5,OK,"[0.0, 1.0, 0.0, 0.0, 0.0]",0.0,0.0,0.5603271484375,0.5603271484375,0.0,
only_correctness,"[0.0, 1.0, 0.0, 0.0, 0.0]",Cert,,FLOOR_COLLAPSED,"[0.0, 1.0, 0.0, 0.0, 0.0]",0.0,0.0,0.5603271484375,0.5603271484375,0.0,"certificate: lambda = p, Delta = 0 by construction"
only_coherence,"[0.0, 0.0, 1.0, 0.0, 0.0]",Avg,rho=0.5,OK,"[0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0,0.6642333984375,0.6642333984375,0.0,
only_coherence,"[0.0, 0.0, 1.0, 0.0, 0.0]",Cert,,FLOOR_COLLAPSED,"[0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0,0.6642333984375,0.6642333984375,0.0,"certificate: lambda = p, Delta = 0 by construction"
only_complexity,"[0.0, 0.0, 0.0, 1.0, 0.0]",Avg,rho=0.5,OK,"[0.0, 0.0, 0.0, 1.0, 0.0]",0.0,0.0,0.4899169921875,0.4899169921875,0.0,
only_complexity,"[0.0, 0.0, 0.0, 1.0, 0.0]",Cert,,FLOOR_COLLAPSED,"[0.0, 0.0, 0.0, 1.0, 0.0]",0.0,0.0,0.4899169921875,0.4899169921875,0.0,"certificate: lambda = p, Delta = 0 by construction"
only_verbosity,"[0.0, 0.0, 0.0, 0.0, 1.0]",Avg,rho=0.5,OK,"[0.0, 0.0, 0.0, 0.0, 1.0]",0.0,0.0,0.5650146484375,0.5650146484375,0.0,
only_verbosity,"[0.0, 0.0, 0.0, 0.0, 1.0]",Cert,,FLOOR_COLLAPSED,"[0.0, 0.0, 0.0, 0.0, 1.0]",0.0,0.0,0.5650146484375,0.5650146484375,0.0,"certificate: lambda = p, Delta = 0 by construction"
