attribute,global_step,epoch,train_loss,eval_loss,learning_rate,grad_norm,timestamp
complexity,380,1.514713,0.78925394,,5.8988309998e-05,0.45507812,2026-06-30T09:15:29.808427+00:00
complexity,380,1.514713,0.81430858,0.86084945,5.8988309998e-05,0.45507812,2026-06-30T09:15:43.894844+00:00
complexity,390,1.554613,0.78504912,,5.69961198e-05,0.34765625,2026-06-30T09:15:50.580057+00:00
complexity,400,1.594514,0.83084830,,5.5e-05,0.37304688,2026-06-30T09:15:57.348233+00:00
complexity,400,1.594514,0.57086062,0.86053311,5.5e-05,0.37304688,2026-06-30T09:16:11.430760+00:00
complexity,410,1.634414,0.77545589,,5.30038802e-05,0.43750000,2026-06-30T09:16:18.213239+00:00
complexity,420,1.674314,0.75765411,,5.1011690002e-05,0.37304688,2026-06-30T09:16:24.920147+00:00
complexity,420,1.674314,0.70327103,0.86037079,5.1011690002e-05,0.37304688,2026-06-30T09:16:39.003026+00:00
complexity,430,1.714214,0.78171343,,4.90273512722e-05,0.37890625,2026-06-30T09:16:45.509474+00:00
complexity,440,1.754115,0.76601765,,4.70547704203e-05,0.46679688,2026-06-30T09:16:52.158546+00:00
complexity,440,1.754115,0.67638415,0.86010289,4.70547704203e-05,0.46679688,2026-06-30T09:17:06.224938+00:00
complexity,450,1.794015,0.74715345,,4.5097830709e-05,0.41601562,2026-06-30T09:17:13.199911+00:00
complexity,460,1.833915,0.73901531,,4.31603846098e-05,0.42187500,2026-06-30T09:17:19.700824+00:00
complexity,460,1.833915,0.81743973,0.86006264,4.31603846098e-05,0.42187500,2026-06-30T09:17:33.774676+00:00
complexity,470,1.873815,0.75953338,,4.12462462183e-05,0.50390625,2026-06-30T09:17:40.191696+00:00
complexity,480,1.913716,0.81656142,,3.93591837464e-05,0.45312500,2026-06-30T09:17:46.900277+00:00
complexity,480,1.913716,0.88909483,0.85938750,3.93591837464e-05,0.45312500,2026-06-30T09:18:00.977350+00:00
complexity,490,1.953616,0.80367976,,3.75029121037e-05,0.38476562,2026-06-30T09:18:08.424734+00:00
complexity,500,1.993516,0.78097558,,3.56810855843e-05,0.54296875,2026-06-30T09:18:15.121939+00:00
complexity,500,1.993516,0.96295589,0.85941053,3.56810855843e-05,0.54296875,2026-06-30T09:18:29.204239+00:00
