attribute,global_step,epoch,train_loss,eval_loss,learning_rate,grad_norm,timestamp
verbosity,370,1.474813,0.72776095,,6.09726487278e-05,0.34960938,2026-06-30T09:30:23.571242+00:00
verbosity,380,1.514713,0.75539460,,5.8988309998e-05,0.40429688,2026-06-30T09:30:30.323107+00:00
verbosity,380,1.514713,0.71949774,0.81647532,5.8988309998e-05,0.40429688,2026-06-30T09:30:34.788576+00:00
verbosity,390,1.554613,0.71215020,,5.69961198e-05,0.36718750,2026-06-30T09:30:41.703093+00:00
verbosity,400,1.594514,0.80563791,,5.5e-05,0.37109375,2026-06-30T09:30:48.205231+00:00
verbosity,400,1.594514,0.73780084,0.81679174,5.5e-05,0.37109375,2026-06-30T09:30:52.670078+00:00
verbosity,410,1.634414,0.80630105,,5.30038802e-05,0.38476562,2026-06-30T09:30:59.628663+00:00
verbosity,420,1.674314,0.72270080,,5.1011690002e-05,0.32031250,2026-06-30T09:31:06.419763+00:00
verbosity,420,1.674314,0.58856195,0.81666343,5.1011690002e-05,0.32031250,2026-06-30T09:31:10.890681+00:00
verbosity,430,1.714214,0.77799929,,4.90273512722e-05,0.43554688,2026-06-30T09:31:17.761945+00:00
verbosity,440,1.754115,0.73123851,,4.70547704203e-05,0.35351562,2026-06-30T09:31:24.715049+00:00
verbosity,440,1.754115,0.88433671,0.81579840,4.70547704203e-05,0.35351562,2026-06-30T09:31:29.181521+00:00
verbosity,450,1.794015,0.72167768,,4.5097830709e-05,0.37695312,2026-06-30T09:31:36.526893+00:00
verbosity,460,1.833915,0.81679161,,4.31603846098e-05,0.43359375,2026-06-30T09:31:43.448511+00:00
verbosity,460,1.833915,0.96233684,0.81587703,4.31603846098e-05,0.43359375,2026-06-30T09:31:47.918746+00:00
verbosity,470,1.873815,0.74659942,,4.12462462183e-05,0.36718750,2026-06-30T09:31:54.710792+00:00
verbosity,480,1.913716,0.72093105,,3.93591837464e-05,0.42578125,2026-06-30T09:32:01.696663+00:00
verbosity,480,1.913716,0.81138033,0.81535432,3.93591837464e-05,0.42578125,2026-06-30T09:32:06.163524+00:00
verbosity,490,1.953616,0.73214173,,3.75029121037e-05,0.39648438,2026-06-30T09:32:13.688910+00:00
verbosity,500,1.993516,0.77338396,,3.56810855843e-05,0.42773438,2026-06-30T09:32:20.657663+00:00
verbosity,500,1.993516,0.81784779,0.81545172,3.56810855843e-05,0.42773438,2026-06-30T09:32:25.120387+00:00
verbosity,502,2.000000,0.74947669,0.81539688,3.53211705794e-05,0.60937500,2026-06-30T09:32:31.318841+00:00
verbosity,510,2.031920,0.72286082,,3.3897290673e-05,0.41601562,2026-06-30T09:32:36.697044+00:00
verbosity,520,2.071820,0.69202958,,3.21550389848e-05,0.37304688,2026-06-30T09:32:43.443251+00:00
verbosity,520,2.071820,0.64389735,0.81789526,3.21550389848e-05,0.37304688,2026-06-30T09:32:47.910908+00:00
verbosity,530,2.111721,0.65661258,,3.04577603517e-05,0.33789062,2026-06-30T09:32:54.887349+00:00
verbosity,540,2.151621,0.65380170,,2.8808796071e-05,0.30859375,2026-06-30T09:33:01.875943+00:00
verbosity,540,2.151621,0.55604208,0.81831140,2.8808796071e-05,0.30859375,2026-06-30T09:33:06.340855+00:00
verbosity,550,2.191521,0.74556559,,2.72113923274e-05,0.39453125,2026-06-30T09:33:13.330116+00:00
verbosity,560,2.231421,0.75411723,,2.56686938024e-05,0.42578125,2026-06-30T09:33:20.149807+00:00
verbosity,560,2.231421,0.95560849,0.81785408,2.56686938024e-05,0.42578125,2026-06-30T09:33:24.611469+00:00
verbosity,570,2.271322,0.72094612,,2.41837374837e-05,0.39843750,2026-06-30T09:33:31.514155+00:00
verbosity,580,2.311222,0.77744211,,2.27594466866e-05,0.37890625,2026-06-30T09:33:37.924982+00:00
verbosity,580,2.311222,0.78743064,0.81761120,2.27594466866e-05,0.37890625,2026-06-30T09:33:42.389288+00:00
verbosity,590,2.351122,0.72517160,,2.13986252988e-05,0.43164062,2026-06-30T09:33:49.369069+00:00
verbosity,600,2.391022,0.69845682,,2.01039522611e-05,0.39843750,2026-06-30T09:33:56.300059+00:00
verbosity,600,2.391022,0.69402361,0.81768185,2.01039522611e-05,0.39843750,2026-06-30T09:34:00.764362+00:00
verbosity,610,2.430923,0.78091087,,1.88779762931e-05,0.49609375,2026-06-30T09:34:07.426285+00:00
verbosity,620,2.470823,0.73032323,,1.77231108761e-05,0.38867188,2026-06-30T09:34:14.414338+00:00
verbosity,620,2.470823,0.62954444,0.81758729,1.77231108761e-05,0.38867188,2026-06-30T09:34:18.880294+00:00
verbosity,630,2.510723,0.70785026,,1.66416295017e-05,0.39843750,2026-06-30T09:34:25.679861+00:00
verbosity,640,2.550623,0.73613341,,1.56356611961e-05,0.40820312,2026-06-30T09:34:32.492660+00:00
verbosity,640,2.550623,0.74404764,0.81719124,1.56356611961e-05,0.40820312,2026-06-30T09:34:36.955682+00:00
verbosity,650,2.590524,0.70866286,,1.47071863289e-05,0.43359375,2026-06-30T09:34:43.726714+00:00
verbosity,660,2.630424,0.70995176,,1.38580327147e-05,0.37304688,2026-06-30T09:34:50.707113+00:00
verbosity,660,2.630424,0.72819000,0.81732565,1.38580327147e-05,0.37304688,2026-06-30T09:34:55.168113+00:00
verbosity,670,2.670324,0.67883400,,1.30898720146e-05,0.25976562,2026-06-30T09:35:01.963141+00:00
verbosity,680,2.710224,0.72485746,,1.24042164454e-05,0.44531250,2026-06-30T09:35:08.806787+00:00
verbosity,680,2.710224,0.68211013,0.81766585,1.24042164454e-05,0.44531250,2026-06-30T09:35:13.272904+00:00
verbosity,690,2.750125,0.77371446,,1.18024158026e-05,0.33984375,2026-06-30T09:35:20.103416+00:00
verbosity,700,2.790025,0.69505861,,1.12856548031e-05,0.38867188,2026-06-30T09:35:26.477476+00:00
verbosity,700,2.790025,0.71361738,0.81756929,1.12856548031e-05,0.38867188,2026-06-30T09:35:30.941848+00:00
verbosity,710,2.829925,0.74420940,,1.08549507532e-05,0.41796875,2026-06-30T09:35:37.927028+00:00
verbosity,720,2.869825,0.74533278,,1.05111515456e-05,0.46289062,2026-06-30T09:35:44.701482+00:00
verbosity,720,2.869825,0.83787721,0.81744468,1.05111515456e-05,0.46289062,2026-06-30T09:35:49.167126+00:00
verbosity,730,2.909726,0.71498538,,1.02549339905e-05,0.42773438,2026-06-30T09:35:56.119402+00:00
verbosity,740,2.949626,0.67492272,,1.0086802483e-05,0.33593750,2026-06-30T09:36:02.956949+00:00
verbosity,740,2.949626,0.72758853,0.81744802,1.0086802483e-05,0.33593750,2026-06-30T09:36:07.425692+00:00
verbosity,750,2.989526,0.77742621,,1.00070880101e-05,0.43750000,2026-06-30T09:36:14.075623+00:00
verbosity,753,3.000000,0.72204557,0.81739432,1.00004430115e-05,0.60546875,2026-06-30T09:36:20.352214+00:00
